feature,importance
corridor_fare_density,186643899.20365143
time_bin_15min,106329094.02158737
mean_rider_fare,52507644.28500652
origin_lga_km,34621357.079286575
hour_of_day,34431374.13486385
corridor_hist_mean_fare,30617711.928487778
dest_cell_dropoffs,25682641.481708527
hour_cos,23833107.626955986
hour_sin,22688881.398347855
corridor_hist_dropoff_density,17013566.57988262
corridor_hist_fare_density,16914219.77079773
bearing_sin,16083196.973542213
dest_times_sq_km,16048357.348369598
origin_cell_mean_fare,15802371.652983665
dest_penn_km,14147961.324669838
corridor_hist_pickup_density,14120991.211343765
dest_jfk_km,12359040.912909508
dest_lga_km,11850224.276888847
bearing_cos,11773831.171863556
corridor_demand_density,11460243.207915306
dest_landmark_dist_km,10300692.338087082
origin_jfk_km,10000830.28059578
origin_penn_km,9363404.616129875
route_avg_speed_ms,9155874.20304203
corridor_cell_count,8359207.282039642
corridor_hist_pickups,7338901.089306831
corridor_hist_dropoffs,7110537.582486153
corridor_rider_count,7108226.646846771
origin_times_sq_km,6939642.056790352
route_distance_m,6411406.2357234955
route_sinuosity,6267956.533789635
origin_landmark_dist_km,5799060.601941109
route_duration_s,5562718.606691837
straight_line_dist_m,4904910.446938515
origin_cell_pickups,4723251.63385582
day_of_month,1832210.479812622
day_of_week,958764.3291273117
is_weekend,40399.67485809326
