feature,importance
mean_rider_fare,48058.39494103193
route_avg_speed_ms,46894.773857057095
corridor_hist_mean_fare,44838.11190474033
route_sinuosity,43561.0974650383
corridor_fare_density,41875.39912009239
corridor_cell_count,26258.97113764286
route_duration_s,25342.176407799125
route_distance_m,21998.77642659843
corridor_rider_count,21057.044883668423
corridor_hist_dropoffs,20966.11107748747
corridor_demand_density,20594.620984882116
corridor_hist_pickups,20167.96662387997
corridor_hist_pickup_density,18154.963089741766
corridor_hist_fare_density,17797.59260725975
corridor_hist_dropoff_density,15996.845726549625
is_weekend,0.0
hour_of_day,0.0
day_of_week,0.0
day_of_month,0.0
time_bin_15min,0.0
hour_sin,0.0
hour_cos,0.0
origin_penn_km,0.0
origin_lga_km,0.0
origin_jfk_km,0.0
dest_landmark_dist_km,0.0
origin_landmark_dist_km,0.0
straight_line_dist_m,0.0
bearing_cos,0.0
bearing_sin,0.0
dest_cell_dropoffs,0.0
origin_cell_mean_fare,0.0
origin_cell_pickups,0.0
dest_times_sq_km,0.0
dest_penn_km,0.0
dest_lga_km,0.0
dest_jfk_km,0.0
origin_times_sq_km,0.0
