domain,scenario_name,density_pct,matching_window_min,max_detour_min,batch_seconds,driver_sample_size,policy,total_profit_mean,total_profit_ci_low,total_profit_ci_high,profit_per_launched_driver_mean,profit_per_launched_driver_ci_low,profit_per_launched_driver_ci_high,launched_drivers_mean,launched_drivers_ci_low,launched_drivers_ci_high,served_riders_mean,served_riders_ci_low,served_riders_ci_high,rider_service_rate_mean,rider_service_rate_ci_low,rider_service_rate_ci_high,mean_wait_min_mean,mean_wait_min_ci_low,mean_wait_min_ci_high,mean_matched_riders_per_driver_mean,mean_matched_riders_per_driver_ci_low,mean_matched_riders_per_driver_ci_high,seat_occupancy_mean,seat_occupancy_ci_low,seat_occupancy_ci_high,mean_detour_min_mean,mean_detour_min_ci_low,mean_detour_min_ci_high,mean_eval_time_s_mean,mean_eval_time_s_ci_low,mean_eval_time_s_ci_high,mean_batch_runtime_s_mean,mean_batch_runtime_s_ci_low,mean_batch_runtime_s_ci_high,n_seeds,selected_for_paper,selected_heuristic_policy
yellow,dispatch_density_d100,100,5,4,60,1000,coldstart,-2600.0,-2600.0,-2600.0,-2.6,-2.6,-2.6,1000.0,1000.0,1000.0,960.0,960.0,960.0,0.24,0.24,0.24,1.2,1.2,1.2,0.96,0.96,0.96,0.32,0.32,0.32,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d100,100,5,4,60,1000,heuristic_feasible_count,-400.0,-400.0,-400.0,-0.4,-0.4,-0.4,1000.0,1000.0,1000.0,1180.0,1180.0,1180.0,0.3,0.3,0.3,1.22,1.22,1.22,1.18,1.18,1.18,0.3933333333333333,0.3933333333333333,0.3933333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
yellow,dispatch_density_d100,100,5,4,60,1000,warmup,-290.0,-290.0,-290.0,-0.29,-0.29,-0.29,1000.0,1000.0,1000.0,1120.0,1120.0,1120.0,0.29,0.29,0.29,1.2,1.2,1.2,1.12,1.12,1.12,0.37333333333333335,0.37333333333333335,0.37333333333333335,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d100,100,5,4,60,1000,oracle,150.0,150.0,150.0,0.15,0.15,0.15,1000.0,1000.0,1000.0,1240.0,1240.0,1240.0,0.31,0.31,0.31,1.25,1.25,1.25,1.24,1.24,1.24,0.41333333333333333,0.41333333333333333,0.41333333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d25,25,5,4,60,1000,coldstart,-6870.0,-6870.0,-6870.0,-6.87,-6.87,-6.87,1000.0,1000.0,1000.0,350.0,350.0,350.0,0.08,0.08,0.08,1.95,1.95,1.95,0.35,0.35,0.35,0.11666666666666665,0.11666666666666665,0.11666666666666665,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d25,25,5,4,60,1000,heuristic_feasible_count,-5630.0,-5630.0,-5630.0,-5.63,-5.63,-5.63,1000.0,1000.0,1000.0,580.0,580.0,580.0,0.14,0.14,0.14,2.21,2.21,2.21,0.58,0.58,0.58,0.19333333333333333,0.19333333333333333,0.19333333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
yellow,dispatch_density_d25,25,5,4,60,1000,warmup,-5480.0,-5480.0,-5480.0,-5.48,-5.48,-5.48,1000.0,1000.0,1000.0,530.0,530.0,530.0,0.13,0.13,0.13,2.18,2.18,2.18,0.53,0.53,0.53,0.17666666666666667,0.17666666666666667,0.17666666666666667,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d25,25,5,4,60,1000,oracle,-5300.0,-5300.0,-5300.0,-5.3,-5.3,-5.3,1000.0,1000.0,1000.0,590.0,590.0,590.0,0.15,0.15,0.15,2.19,2.19,2.19,0.59,0.59,0.59,0.19666666666666666,0.19666666666666666,0.19666666666666666,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d10,10,5,4,60,1000,coldstart,-8080.0,-8080.0,-8080.0,-8.08,-8.08,-8.08,1000.0,1000.0,1000.0,160.0,160.0,160.0,0.041,0.041,0.041,2.51,2.51,2.51,0.16,0.16,0.16,0.05333333333333334,0.05333333333333334,0.05333333333333334,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,dispatch_density_d10,10,5,4,60,1000,heuristic_feasible_count,-7300.0,-7300.0,-7300.0,-7.3,-7.3,-7.3,1000.0,1000.0,1000.0,290.0,290.0,290.0,0.074,0.074,0.074,2.52,2.52,2.52,0.29,0.29,0.29,0.09666666666666666,0.09666666666666666,0.09666666666666666,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
