domain,scenario_name,density_pct,policy,profit_per_launched_driver_mean,rider_service_rate_mean,mean_wait_min_mean,mean_matched_riders_per_driver_mean,selected_for_paper
yellow,dispatch_density_d100,100,coldstart,-2.6,0.24,1.2,0.96,False
yellow,dispatch_density_d100,100,heuristic_feasible_count,-0.4,0.3,1.22,1.18,True
yellow,dispatch_density_d100,100,warmup,-0.29,0.29,1.2,1.12,False
yellow,dispatch_density_d100,100,oracle,0.15,0.31,1.25,1.24,False
yellow,dispatch_density_d25,25,coldstart,-6.87,0.08,1.95,0.35,False
yellow,dispatch_density_d25,25,heuristic_feasible_count,-5.63,0.14,2.21,0.58,True
yellow,dispatch_density_d25,25,warmup,-5.48,0.13,2.18,0.53,False
yellow,dispatch_density_d25,25,oracle,-5.3,0.15,2.19,0.59,False
yellow,dispatch_density_d10,10,coldstart,-8.08,0.041,2.51,0.16,False
yellow,dispatch_density_d10,10,heuristic_feasible_count,-7.3,0.074,2.52,0.29,True
yellow,dispatch_density_d10,10,warmup,-7.15,0.07,2.56,0.27,False
yellow,dispatch_density_d10,10,oracle,-7.02,0.074,2.54,0.29,False
green,dispatch_density_d100,100,coldstart,-2.2,0.21,1.71,0.86,False
green,dispatch_density_d100,100,heuristic_feasible_count,-0.55,0.25,1.82,1.01,True
green,dispatch_density_d100,100,warmup,-0.41,0.24,1.79,0.97,False
green,dispatch_density_d100,100,oracle,-0.2,0.26,1.8,1.06,False
green,dispatch_density_d25,25,coldstart,-6.52,0.05,1.96,0.22,False
green,dispatch_density_d25,25,heuristic_feasible_count,-5.88,0.08,2.1,0.34,True
green,dispatch_density_d25,25,warmup,-5.61,0.08,2.08,0.33,False
green,dispatch_density_d25,25,oracle,-5.42,0.09,2.06,0.36,False
green,dispatch_density_d10,10,coldstart,-7.66,0.006,1.87,0.02,False
green,dispatch_density_d10,10,heuristic_feasible_count,-7.54,0.011,2.14,0.04,True
green,dispatch_density_d10,10,warmup,-7.27,0.069,2.07,0.27,False
green,dispatch_density_d10,10,oracle,-7.25,0.074,2.05,0.29,False
