domain,scenario_name,density_pct,matching_window_min,max_detour_min,batch_seconds,driver_sample_size,policy,total_profit_mean,total_profit_ci_low,total_profit_ci_high,profit_per_launched_driver_mean,profit_per_launched_driver_ci_low,profit_per_launched_driver_ci_high,launched_drivers_mean,launched_drivers_ci_low,launched_drivers_ci_high,served_riders_mean,served_riders_ci_low,served_riders_ci_high,rider_service_rate_mean,rider_service_rate_ci_low,rider_service_rate_ci_high,mean_wait_min_mean,mean_wait_min_ci_low,mean_wait_min_ci_high,mean_matched_riders_per_driver_mean,mean_matched_riders_per_driver_ci_low,mean_matched_riders_per_driver_ci_high,seat_occupancy_mean,seat_occupancy_ci_low,seat_occupancy_ci_high,mean_detour_min_mean,mean_detour_min_ci_low,mean_detour_min_ci_high,mean_eval_time_s_mean,mean_eval_time_s_ci_low,mean_eval_time_s_ci_high,mean_batch_runtime_s_mean,mean_batch_runtime_s_ci_low,mean_batch_runtime_s_ci_high,n_seeds,selected_for_paper,selected_heuristic_policy
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,coldstart,-8080.0,-8080.0,-8080.0,-8.08,-8.08,-8.08,1000.0,1000.0,1000.0,160.0,160.0,160.0,0.041,0.041,0.041,2.51,2.51,2.51,0.16,0.16,0.16,0.05333333333333334,0.05333333333333334,0.05333333333333334,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_count,-7450.0,-7450.0,-7450.0,-7.45,-7.45,-7.45,1000.0,1000.0,1000.0,270.0,270.0,270.0,0.069,0.069,0.069,2.53,2.53,2.53,0.27,0.27,0.27,0.09000000000000001,0.09000000000000001,0.09000000000000001,4.0,4.0,4.0,0.0174,0.0174,0.0174,0.037,0.037,0.037,5,False,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_fare_density,-7370.0,-7370.0,-7370.0,-7.37,-7.37,-7.37,1000.0,1000.0,1000.0,280.0,280.0,280.0,0.071,0.071,0.071,2.53,2.53,2.53,0.28,0.28,0.28,0.09333333333333334,0.09333333333333334,0.09333333333333334,4.0,4.0,4.0,0.0174,0.0174,0.0174,0.0371,0.0371,0.0371,5,False,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_feasible_count,-7300.0,-7300.0,-7300.0,-7.3,-7.3,-7.3,1000.0,1000.0,1000.0,290.0,290.0,290.0,0.074,0.074,0.074,2.52,2.52,2.52,0.29,0.29,0.29,0.09666666666666666,0.09666666666666666,0.09666666666666666,4.0,4.0,4.0,0.0174,0.0174,0.0174,0.0371,0.0371,0.0371,5,True,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_profit_proxy,-7510.0,-7510.0,-7510.0,-7.51,-7.51,-7.51,1000.0,1000.0,1000.0,260.0,260.0,260.0,0.067,0.067,0.067,2.53,2.53,2.53,0.26,0.26,0.26,0.08666666666666667,0.08666666666666667,0.08666666666666667,4.0,4.0,4.0,0.0174,0.0174,0.0174,0.0371,0.0371,0.0371,5,False,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,oracle,-7020.0,-7020.0,-7020.0,-7.02,-7.02,-7.02,1000.0,1000.0,1000.0,290.0,290.0,290.0,0.074,0.074,0.074,2.54,2.54,2.54,0.29,0.29,0.29,0.09666666666666666,0.09666666666666666,0.09666666666666666,4.0,4.0,4.0,0.0172,0.0172,0.0172,0.0366,0.0366,0.0366,5,False,heuristic_feasible_count
yellow,primary_dispatch_d10_w5_det4,10,5,4,60,1000,warmup,-7150.0,-7150.0,-7150.0,-7.15,-7.15,-7.15,1000.0,1000.0,1000.0,270.0,270.0,270.0,0.07,0.07,0.07,2.56,2.56,2.56,0.27,0.27,0.27,0.09000000000000001,0.09000000000000001,0.09000000000000001,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,primary_dispatch_d10_w5_det4,10,5,4,60,1000,coldstart,-7660.0,-7660.0,-7660.0,-7.66,-7.66,-7.66,1000.0,1000.0,1000.0,20.0,20.0,20.0,0.006,0.006,0.006,1.87,1.87,1.87,0.02,0.02,0.02,0.006666666666666667,0.006666666666666667,0.006666666666666667,4.0,4.0,4.0,0.017,0.017,0.017,0.0357,0.0357,0.0357,5,False,heuristic_feasible_count
green,primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_feasible_count,-7540.0,-7540.0,-7540.0,-7.54,-7.54,-7.54,1000.0,1000.0,1000.0,40.0,40.0,40.0,0.011,0.011,0.011,2.14,2.14,2.14,0.04,0.04,0.04,0.013333333333333334,0.013333333333333334,0.013333333333333334,4.0,4.0,4.0,0.0171,0.0171,0.0171,0.0358,0.0358,0.0358,5,True,heuristic_feasible_count
green,primary_dispatch_d10_w5_det4,10,5,4,60,1000,oracle,-7250.0,-7250.0,-7250.0,-7.25,-7.25,-7.25,1000.0,1000.0,1000.0,290.0,290.0,290.0,0.074,0.074,0.074,2.05,2.05,2.05,0.29,0.29,0.29,0.09666666666666666,0.09666666666666666,0.09666666666666666,4.0,4.0,4.0,0.017,0.017,0.017,0.0356,0.0356,0.0356,5,False,heuristic_feasible_count
